combinacion,version,operaciones,ganancias,perdidas,tasa_exito,pnl_pct
EMA20/50/200,V1,71,38,33,53.5,-13.35
EMA20/50/200,V5,55,25,30,45.5,-16.02
EMA20/50/200,V8,29,17,12,58.6,10.91
EMA20/100/200,V1,71,38,33,53.5,-13.35
EMA20/100/200,V5,53,26,27,49.1,-18.3
EMA20/100/200,V8,31,18,13,58.1,7.24
EMA10/50/200,V1,74,38,36,51.4,-16.89
EMA10/50/200,V5,61,28,33,45.9,-26.29
EMA10/50/200,V8,29,17,12,58.6,10.68
EMA20/50/100,V1,71,38,33,53.5,-13.35
EMA20/50/100,V5,55,25,30,45.5,-16.02
EMA20/50/100,V8,40,17,23,42.5,-41.1
EMA20/30/200,V1,71,38,33,53.5,-13.35
EMA20/30/200,V5,62,28,34,45.2,-12.16
EMA20/30/200,V8,33,18,15,54.5,3.19
EMA10/30/100,V1,74,38,36,51.4,-16.89
EMA10/30/100,V5,68,32,36,47.1,-24.92
EMA10/30/100,V8,40,18,22,45.0,-36.78
