Fecha,Evento,Impacto,Precio_Inicial,Var_1h,Resultado
2026-04-14 00:20:34,SISTEMA DE MONITOREO ACTIVADO,INFO,74466.94,PND,OBSERVANDO
2026-04-14 00:23:48,Lanzamiento ETF Morgan Stanley y flujo institucional,ALTO,74464.0,PND,OBSERVANDO
2026-04-15 22:11:17,SISTEMA DE MONITOREO ACTIVADO,INFO,74693.71,PND,OBSERVANDO
2026-04-16 00:21:07,SISTEMA DE MONITOREO ACTIVADO,INFO,74955.99,PND,OBSERVANDO
2026-04-16 10:46:29,SISTEMA DE MONITOREO ACTIVADO,INFO,74021.98,PND,OBSERVANDO
2026-04-16 13:24:48,SISTEMA DE MONITOREO ACTIVADO,INFO,74214.61,PND,OBSERVANDO
2026-04-16 13:48:08,SISTEMA DE MONITOREO ACTIVADO,INFO,74403.34,PND,OBSERVANDO
2026-04-17 07:22:13,SISTEMA DE MONITOREO ACTIVADO,INFO,75473.06,PND,OBSERVANDO
2026-04-17 11:02:10,SISTEMA DE MONITOREO ACTIVADO,INFO,77822.71,PND,OBSERVANDO
2026-04-17 23:16:18,SISTEMA DE MONITOREO ACTIVADO,INFO,77222.98,PND,OBSERVANDO
2026-04-17 23:17:26,SISTEMA DE MONITOREO ACTIVADO,INFO,77246.34,PND,OBSERVANDO
2026-04-18 08:48:57,SISTEMA DE MONITOREO ACTIVADO,INFO,76206.95,PND,OBSERVANDO
2026-04-18 08:59:53,SISTEMA DE MONITOREO ACTIVADO,INFO,76206.98,PND,OBSERVANDO
2026-04-18 09:01:52,SISTEMA DE MONITOREO ACTIVADO,INFO,76163.5,PND,OBSERVANDO
2026-04-19 00:16:04,SISTEMA DE MONITOREO ACTIVADO,INFO,75704.46,PND,OBSERVANDO
2026-04-20 10:25:09,SISTEMA DE MONITOREO ACTIVADO,INFO,75488.3,PND,OBSERVANDO
2026-04-24 00:05:01,SISTEMA DE MONITOREO ACTIVADO,INFO,77693.99,PND,OBSERVANDO
2026-04-24 10:42:57,SISTEMA DE MONITOREO ACTIVADO,INFO,77923.47,PND,OBSERVANDO
2026-04-24 15:48:56,SISTEMA DE MONITOREO ACTIVADO,INFO,77578.57,PND,OBSERVANDO
2026-04-25 21:30:09,SISTEMA DE MONITOREO ACTIVADO,INFO,77506.42,PND,OBSERVANDO
2026-04-28 15:04:22,SISTEMA DE MONITOREO ACTIVADO,INFO,76184.23,PND,OBSERVANDO
2026-04-28 18:24:12,SISTEMA DE MONITOREO ACTIVADO,INFO,76346.49,PND,OBSERVANDO
2026-04-29 21:22:41,SISTEMA DE MONITOREO ACTIVADO,INFO,76216.56,PND,OBSERVANDO
2026-04-30 06:32:21,SISTEMA DE MONITOREO ACTIVADO,INFO,76050.97,PND,OBSERVANDO
2026-04-30 07:51:16,SISTEMA DE MONITOREO ACTIVADO,INFO,76035.85,PND,OBSERVANDO
